id,year_month,text,smishing,match_yn,match_cnt,match_word,단어,cagetory1,cagetory2,비고
0,17-Jan,XXX은행성산XXX팀장입니다.행복한주말되세요,0,,,,,,,
1,17-Jan,오늘도많이웃으시는하루시작하세요XXX은행 진월동VIP라운지 XXX올림,0,,,,,,,
2,17-Jan,안녕하십니까 고객님. XXX은행입니다.금일 납부하셔야 할 금액은 153600원 입니다.감사합니다. 새해 복 많이 받으십시오.XXX은행옥포XXX올림,0,,,,,,,
4,17-Jan,XXX 고객님안녕하세요XXX은행 XXX지점입니다지난 한 해 동안 저희 XXX지점에 보내주신 성원에 감사드립니다. 설렘으로 시작한 2017년소망하시는 일 모두 이XXX 고객님의 가정에 늘 건강과 행복이 함께하길 기원하겠습니다. 사랑하는 가족과 함께 정을 나누는 행복한 설 명절 보내세요 XXX은행 XXX지점직원일동,0,,,,,,,
5,17-Jan,1월은 새로움이 가득XXX입니다.올 한해 더 많이행복한 한해되시길바랍니다,0,,,,,,,
6,17-Jan,행복한주말보내세요XXX용현남전담직원대리 XXX올림,0,,,,,,,
7,17-Jan,XXX 고객님 안녕하세요XXX은행 무교지점 XXX과장입니다 오늘 아침에 눈을 뜨니 눈이 많이 와서 온 세상이 하얗게 변했더군요어릴적에는 눈이 마냥 좋기만 했는데눈을 보는 순간 좋기보다는 먼저. 출근을 걱정하게 되더라구요이제 진정한 어른이 되었음을 느끼게 됩니다새해 인사를 드리기전에..제가 발령이 나서 본점으로 가게되었어요ㅠㅠ. 진정한 구정 새해인사보다 이별인사를 먼저 드리게 되어 송구할 뿐입니다그동안 보내주신 성원에 감사.또 감사드리며XXX은행에 있는XXX고객님을 평생 저의 고객으로 모시겠습니다.새해 복 많이 받으시고 2017년 원하고 바라시는 모든일 이루시길 기원합니다XXX은행 무교지점 XXX과장올림,0,,,,,,,
8,17-Jan,XXX 고객님지난 한해 베풀어 주신 은혜 진심으로 감사 드립니다.가슴 깊이 간직 하겠습니다.정유년 새해 가족 모두 행복하시고 뜻 하는 바 모두이루시길 진심으로 소망합니다XXX XXX은행 XXX 지점장               정 XXX 배상,0,,,,,,,
9,17-Jan,설연휴 가족들과 훈훈한 정 나누시고 정겨운추억 많이 만드세요XXX오XXX올림,0,,,,,,,
10,17-Jan,(광고)XXXBaXXX고객님들 뒤엔XXX 언제나 XXX새로운 마음가짐으로 새롭게 준비합니다.당행상품의 자격기준과 심사기준이 완화되어 상품에 대해 간단하게 상품정보 전달드립니다.수신을 희망하지 않으실 경우에는 거부 라는 답장을 주시면 KISA 수신거부 목록에 등록을 시켜 두번 다시 발송되지 않도록 조치를 취해드리겠습니다.신청방법:  XXX-XXX-XXX  터치하셔서 문자로 상담 또는 00시 00분 상담이라고 답장을 보내주시거나 전화를 주시면 친절하고 안전한 상담으로 도움드리겠습니다.카카오톡 상담서비스 시행중 citibankloan친구추가 후 상담신청이런 분들께 권해드립니다.1. 시중은행권에서 기존한도를 모두 사용 중이신 분.2. 기대출의 원리금 균등방식으로 인해 월 불입금액이 부담스러우신 분.3. 총 채무금액은 작으나 채무건수가 많아서 관리가 안 되시는 XXX고객님들께 말씀드립니다. 높은 금리 때문에 힘들다고 느끼셨을 때 대출이 필요하실 때 언제나XXX 고객님들 뒤에서 든든한 파트너로서 도와드리겠습니다.당행 상품특징1. 당행 거래가 없으셔도 진행가능.2. 시중은행권보다 높은 한도.3. 자체 등급으로 판단하므로 낮은신용자도 진행가능.4. 부채가 많다면 부채 통합상품으로 전환가능.5. 원리금 균등방식을 이자만 납입하는 만기일시로 전환가능.6. 가상 조회를 통해 한도 및 금리를 한 번에 확인가능.당행 상품안내1. 직장인전용 신용상품한도: 최대 1억 4000만 원까지.금리: 최저 2.97%자격: XXX은행 자체 등급과 기업 리스트에 따라 차등적용.2. 채무통합 전환상품한도: 연봉 대비 300%까지.금리: 최저 2.97%자격: XXX은행 자체 등급과 기업 리스트에 따라 차등적용.3. 새 희망 홀씨한도: 최대 2500만 원.금리: 8.68%12%자격: 연봉 4000만 원 이하 고객 대상으로 XXX 자체 등급에 따라(광고)XXX,1,,,,,,,
11,17-Jan,사장님 안녕하십니까?XXX은행 영도지점장 입니다.항상 XXX은행 영도지점을 아끼고 관심을 가져주신데 대하여 깊은 감사의 말씀을 드립니다.금번 XXX은행 구조조정에 의한 희망퇴직으로 대폭적인 인사이동에 의해 정든 영도지점을 떠나 마산역지점장으로 발령받게 되었습니다.몸은 떠나지만 마음만은 XXX 사장님 곁에 머물겠습니다.귀사의 무궁한 발전을 기원드립니다.항상 건강하십시요.XXX은행 영도지점장 XXX 배상.,0,,,,,,,
12,17-Jan,첫날은 아니지만 누군가 행복을 빌어주면 한달내내 행복하다는  문자를 받았어요. 1월 한달 내내 행복 가득하시길 바라며 주말 잘 보내세요.XXX은행청계3가XXX올림,0,,,,,,,
13,17-Jan,이번에 인사이동으로 유통단지지점으로 이동하게 되었습니다. 건강하십시요.XXX,0,,,,,,,
14,17-Jan,고객님의 귀중한 자산 맡겨주셔서감사합니다.활기찬 하루 보내세요.XXX옥천 XXX,0,,,,,,,
16,17-Jan,XXX 고객님항상 저희 XXX은행 미XXX점에 베풀어 주시는 성원과 애정에 깊은 감사를 드립니다.저는 미XXX점에 새로 부XXX 고객님을 모시게 된 XXX입니다. 메신저로 인사드리게 되어 죄송합니다. 앞으로도 VIP라운지 이용함에 불편이 없도록 최선을 다하겠습니다. 가정에 늘 건강과 행운이 함께하기를 기원합니다.새해 복 많이 받으세요XXX은행미아동XXX올림,0,,,,,,,
17,17-Jan,XXX 고객님안녕하십니까? 저는 여러해XXX 고객님과 함께 한 XXX XXX은행 개금동지점의 XXX과장입니다. 이번 인사이동으로 인하여 근무지를 옮기게 되어 인사드립니다. 그동안 개금동지점을 사랑해주신 고객님께 깊이 감사드립니다. 떠나기전 직접 찾아뵙고 인사를 올려야 마땅하지만 이렇게 전화를 통해 인사드리게 된점 양해해주시기 바랍니다. 지점에는 저를 대신하여 새로운 전담직원이 고객님을 모시게 될 것입니다. 다시 한번 감사의 마음을 전해드리며 고객님의 가정에 항상 행복과 기쁨이 가득하시길 기원합니다 감사합니다. (ㅡ)XXX은행개금동XXX올림,0,,,,,,,
18,17-Jan,믿고 거래해주셔서 진심으로감사합니다 행복한하루되세요XXX은행신해운대XXX,0,,,,,,,
19,17-Jan,사랑과 행복이 가득한 설날 되세요XXX서강 XXX올림,0,,,,,,,
20,17-Jan,XXX 고객님그동안 감사드립니다꾸뻑금번 인사이동으로 제가 1월16일부터 영도지점장으로 이동하게되었습니다그동안 저희 대청동지점을 위하여 거래하여주시고 직원들에게따스하게 대해주신점 진정 감사드리며 제가 부족하였던 점이 있었다면 너그러운 마음으로 이해부탁드리며 혹시 영도쪽으로 오실 일이 계시면 꼭 들려주시길 부탁드립니다.다XXX 고객님의 큰 사랑에 감사드리며 새해에는 더욱 건강하시고 행복하시며 모든 소원이이루어지시길 기원드립니다XXX은행 대청동지점장 XXX올림,0,,,,,,,
